username,anime_id,my_score,user_id,gender,title,type,source,score,scored_by,rank,popularity,genre
karthiga,21,9,2255153,Female,One Piece,TV,Manga,8.54,423868,91,35,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
karthiga,59,7,2255153,Female,Chobits,TV,Manga,7.53,175388,1546,188,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
karthiga,74,7,2255153,Female,Gakuen Alice,TV,Manga,7.77,33244,941,1291,"Comedy, School, Shoujo, Super Power"
karthiga,120,7,2255153,Female,Fruits Basket,TV,Manga,7.77,167968,939,222,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
karthiga,178,7,2255153,Female,Ultra Maniac,TV,Manga,7.26,9663,2594,2490,"Magic, Comedy, Romance, School, Shoujo"
karthiga,210,7,2255153,Female,Ranma Â½,TV,Manga,7.85,59911,802,623,"Slice of Life, Comedy, Martial Arts, Fantasy"
karthiga,232,6,2255153,Female,Cardcaptor Sakura,TV,Manga,8.21,121898,297,292,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
karthiga,233,6,2255153,Female,Daa! Daa! Daa!,TV,Manga,7.78,6598,919,3045,"Comedy, Sci-Fi, Shoujo"
karthiga,249,8,2255153,Female,InuYasha,TV,Manga,7.9,181978,697,141,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
karthiga,269,10,2255153,Female,Bleach,TV,Manga,7.9,433097,693,18,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"